residence,no_education,elementary_school,high_school,college_or_higher,dont_know_missing,total,number,median_years
Urban,6.0,38.8,32.7,22.0,0.5,100.0,13942,8.1
Rural,97,56.9,24.8,8.1,0.6,100.0,13583,6.1
